ID,name,Topt_C,fAPARmax,canopy_height_meters,field_capacity,wilting_point,geometry
US-PFn,SW4 Hardwood-3 CHEESEHEAD 2019,0.0,0.4872,16.769153611978627,0.27,0.08,POINT (-90.2823 45.9392)
US-HB3,Hobcaw Barony Longleaf Pine Restoration,12.81,0.5752,0.0,0.26,0.1,POINT (-79.2322 33.3482)
US-DFC,"US Dairy Forage Research Center, Prairie du Sac",0.0,0.4192,0.0,0.3,0.1,POINT (-89.7117 43.3448)
US-Wkg,Walnut Gulch Kendall Grasslands,15.57,0.2651,0.0,0.25,0.1,POINT (-109.9419 31.7365)
US-CF1,CAF-LTAR Cook East,0.0,0.3501,0.0,0.34,0.17,POINT (-117.0821 46.7815)
US-Ho2,Howland Forest (west tower),0.0,0.5660000000000001,15.861582159756342,0.32,0.12,POINT (-68.747 45.2091)
US-Snf,Sherman Barn,10.83,0.4022,0.0,0.4,0.17,POINT (-121.7272 38.0402)
US-Me2,Metolius mature ponderosa pine,0.0,0.5123,17.203438494452477,0.34,0.14,POINT (-121.5574 44.4523)
US-CF3,CAF-LTAR Boyd North,0.0,0.3514,0.0,0.32,0.15,POINT (-117.1261 46.7551)
US-Ne1,Mead - irrigated continuous maize site,1.85,0.397,0.0,0.36,0.15,POINT (-96.4766 41.1651)
US-Ha2,Harvard Forest Hemlock Site,0.0,0.5545,20.827021297250504,0.3,0.11,POINT (-72.1779 42.5393)
CA-Ca3,British Columbia - Pole sapling Douglas-fir stand,6.34,0.6107,13.230460093215294,0.43,0.14,POINT (-124.9004 49.5346)
US-SP1,Slashpine-Austin Cary- 65yrs nat regen,15.93,0.5694,17.679970665271917,0.19,0.04,POINT (-82.2188 29.7381)
US-UMB,Univ. of Mich. Biological Station,0.0,0.4431,21.827131321179518,0.27,0.08,POINT (-84.7138 45.5598)
US-Bi1,Bouldin Island Alfalfa,13.84,0.44160000000000005,0.0,0.35,0.18,POINT (-121.4993 38.0992)
US-PFi,NE3 Hardwood-1 CHEESEHEAD 2019,0.0,0.4958,11.508748490909142,0.21,0.07,POINT (-90.2327 45.9749)
US-CF2,CAF-LTAR Cook West,0.0,0.3501,0.0,0.31,0.15,POINT (-117.0908 46.784)
